pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,847.2954
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,847.117
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,845.23535
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,844.9751
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,844.5525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,845.9115
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,846.9585
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,847.2954
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,847.2651
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,845.23535
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,844.9751
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,844.5525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,845.9115
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,847.03656
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,847.2954
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,847.2651
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,846.3854
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,844.9751
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,844.5525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,845.9115
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,847.2012
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,847.2954
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,847.2651
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,846.3854
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,844.9751
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,844.5525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,845.9115
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,847.2012
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,835.08734
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,834.521
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,833.3871
