pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,841.48895
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,839.3308
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,835.99084
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,833.95624
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,833.5017
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,835.7398
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,840.3769
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,841.4793
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,839.7076
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,835.99084
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,833.9881
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,833.79663
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,835.7398
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,840.5735
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,842.39813
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,840.06244
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,837.5244
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,833.9881
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,833.77075
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,835.67236
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,841.17523
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,842.3953
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,840.0885
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,837.8255
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,834.0948
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,834.21466
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,835.6201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,841.17523
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,821.83264
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,819.25494
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,816.8285
